TrendID,TrendName,Description,StartDate,EndDate,AffectedProducts,Region,Impact,TrendSource,LastUpdated
1,Surge in Smart Home Devices,Market trend indicating surge in smart home devices,2023-07-02,2023-09-24,6,Latin America,Low,Expert Opinion,2024-06-07
2,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2023-11-23,2024-08-15,"8,12",Europe,High,Industry Analysis,2024-05-19
3,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2023-12-14,2024-04-25,"3,6,18",Middle East & Africa,High,Expert Opinion,2024-06-16
4,Rise in Sustainable Products,Market trend indicating rise in sustainable products,2023-08-10,2024-01-08,"3,4,14,18,17",North America,Medium,Industry Analysis,2024-05-26
5,Adoption of 5G Technology,Market trend indicating adoption of 5g technology,2023-10-12,2024-08-02,7,Middle East & Africa,High,Expert Opinion,2024-06-16
6,Shift to Online Shopping,Market trend indicating shift to online shopping,2023-08-21,2024-02-17,"5,7,17,12,2",Europe,High,Expert Opinion,2024-05-19
7,Shift to Online Shopping,Market trend indicating shift to online shopping,2024-01-02,2024-04-12,15,Middle East & Africa,Critical,Consumer Survey,2024-06-07
8,Preference for Wireless Earbuds,Market trend indicating preference for wireless earbuds,2023-10-31,2024-04-11,"17,9",Asia-Pacific,Critical,Market Research Report,2024-05-30
9,Increase in Gaming Consoles Demand,Market trend indicating increase in gaming consoles demand,2023-12-26,2024-06-23,"14,2",Europe,High,Consumer Survey,2024-05-27
10,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2024-02-03,2024-12-24,"3,6,18",North America,High,Consumer Survey,2024-05-27
11,Surge in Smart Home Devices,Market trend indicating surge in smart home devices,2023-12-25,2024-12-17,"12,7,16,15,19",North America,Critical,Expert Opinion,2024-05-20
12,Rise in Sustainable Products,Market trend indicating rise in sustainable products,2023-06-20,2024-06-11,"11,20",Middle East & Africa,Low,Consumer Survey,2024-05-29
13,Rise in Sustainable Products,Market trend indicating rise in sustainable products,2023-11-06,2024-03-25,15,Middle East & Africa,Medium,Expert Opinion,2024-06-07
14,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2023-06-30,2023-09-26,"12,7,16,15,19",North America,Critical,Market Research Report,2024-05-27
15,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2024-02-05,2024-09-15,7,North America,Critical,Industry Analysis,2024-05-24
16,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2024-01-19,2024-06-11,"6,10,12,16,17",Asia-Pacific,Critical,Expert Opinion,2024-06-16
17,Increase in Gaming Consoles Demand,Market trend indicating increase in gaming consoles demand,2024-02-20,2024-04-16,"4,10",North America,High,Consumer Survey,2024-05-20
18,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2023-11-23,2024-10-11,11,Asia-Pacific,Low,Market Research Report,2024-06-14
19,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2024-02-03,2024-08-17,"5,7",Asia-Pacific,Medium,Expert Opinion,2024-05-27
20,Shift to Online Shopping,Market trend indicating shift to online shopping,2023-10-06,2024-06-07,"11,19,7",Middle East & Africa,Low,Expert Opinion,2024-06-03
21,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2023-12-15,2024-01-15,"5,3",Middle East & Africa,Medium,Industry Analysis,2024-06-16
22,Adoption of 5G Technology,Market trend indicating adoption of 5g technology,2024-03-30,2024-05-23,"13,12",North America,High,Market Research Report,2024-06-03
